date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:37:58	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2028%20Mar%202026%2023:37:58%20GMT	https://web.archive.org/web/20240723040931cs_/https://www.funintec.org.ar/_dev/wp-content/plugins/novashare/css/style.min.css?ver=1.4.6	C:/My%20Web%20Sites/funintec/web.archive.org/web/20240723040931cs_/https_/www.funintec.org.ar/_dev/wp-content/plugins/novashare/css/style.min5f04.css	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:38:00	7837/7837	---MCZ	200	added ('OK')	text/css	date:Sat,%2028%20Mar%202026%2023:38:00%20GMT	https://web.archive.org/web/20240329230806cs_/https://www.funintec.org.ar/_dev/wp-content/plugins/novashare/css/style.min.css?ver=1.4.6	C:/My%20Web%20Sites/funintec/web.archive.org/web/20240329230806cs_/https_/www.funintec.org.ar/_dev/wp-content/plugins/novashare/css/style.min5f04.css	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:38:01	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2028%20Mar%202026%2023:38:01%20GMT	https://web.archive.org/web/20240723040931im_/https://www.funintec.org.ar/_dev/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/My%20Web%20Sites/funintec/web.archive.org/web/20240723040931im_/https_/www.funintec.org.ar/_dev/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:38:03	9427/9427	---M--	200	added ('OK')	image/gif	date:Sat,%2028%20Mar%202026%2023:38:03%20GMT	https://web.archive.org/web/20240314170406im_/https://www.funintec.org.ar/_dev/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/My%20Web%20Sites/funintec/web.archive.org/web/20240314170406im_/https_/www.funintec.org.ar/_dev/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:38:03	152049/152049	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Sat,%2028%20Mar%202026%2023:38:03%20GMT	https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/_dev/wp-content/et-cache/440/et-divi-dynamic-tb-6473-440-late.css?ver=1721308681	C:/My%20Web%20Sites/funintec/web.archive.org/web/20240723040931/https_/www.funintec.org.ar/_dev/wp-content/et-cache/440/et-divi-dynamic-tb-6473-440-late3862.css	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:38:03	152044/152044	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Sat,%2028%20Mar%202026%2023:38:04%20GMT	https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/_dev/wp-content/et-cache/440/et-divi-dynamic-tb-6473-440.css?ver=1721308681	C:/My%20Web%20Sites/funintec/web.archive.org/web/20240723040931/https_/www.funintec.org.ar/_dev/wp-content/et-cache/440/et-divi-dynamic-tb-6473-4403862.css	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:38:04	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2028%20Mar%202026%2023:38:04%20GMT	https://web.archive.org/web/20240723040931cs_/https://www.funintec.org.ar/_dev/wp-content/themes/Divi-Space-Child/style.css?ver=4.27.0	C:/My%20Web%20Sites/funintec/web.archive.org/web/20240723040931cs_/https_/www.funintec.org.ar/_dev/wp-content/themes/Divi-Space-Child/styleef2c.css	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:38:04	5629/5629	---MCZ	200	added ('OK')	text/css	date:Sat,%2028%20Mar%202026%2023:38:04%20GMT	https://web.archive.org/web/20240723193659cs_/https://www.funintec.org.ar/_dev/wp-content/themes/Divi-Space-Child/style.css?ver=4.27.0	C:/My%20Web%20Sites/funintec/web.archive.org/web/20240723193659cs_/https_/www.funintec.org.ar/_dev/wp-content/themes/Divi-Space-Child/styleef2c.css	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:38:04	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2028%20Mar%202026%2023:38:04%20GMT	https://web.archive.org/web/20240723040931im_/https://www.funintec.org.ar/_dev/wp-content/uploads/favicon.png	C:/My%20Web%20Sites/funintec/web.archive.org/web/20240723040931im_/https_/www.funintec.org.ar/_dev/wp-content/uploads/favicon.png	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:38:04	2614/2614	---M--	200	added ('OK')	image/png	date:Sat,%2028%20Mar%202026%2023:38:05%20GMT	https://web.archive.org/web/20240803054114im_/https://www.funintec.org.ar/_dev/wp-content/uploads/favicon.png	C:/My%20Web%20Sites/funintec/web.archive.org/web/20240803054114im_/https_/www.funintec.org.ar/_dev/wp-content/uploads/favicon.png	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:38:05	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2028%20Mar%202026%2023:38:05%20GMT	https://web.archive.org/web/20240723040931cs_/https://www.funintec.org.ar/_dev/wp-content/et-cache/global/et-divi-customizer-global.min.css?ver=1721286678	C:/My%20Web%20Sites/funintec/web.archive.org/web/20240723040931cs_/https_/www.funintec.org.ar/_dev/wp-content/et-cache/global/et-divi-customizer-global.min743a.css	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:38:05	6511/6511	---MCZ	200	added ('OK')	text/css	date:Sat,%2028%20Mar%202026%2023:38:05%20GMT	https://web.archive.org/web/20240723053954cs_/https://www.funintec.org.ar/_dev/wp-content/et-cache/global/et-divi-customizer-global.min.css?ver=1721286678	C:/My%20Web%20Sites/funintec/web.archive.org/web/20240723053954cs_/https_/www.funintec.org.ar/_dev/wp-content/et-cache/global/et-divi-customizer-global.min743a.css	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:38:05	6476/6476	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202026%2000:47:30%20GMT	https://web-static.archive.org/_static/images/toolbar/wayback-toolbar-logo-200.png	C:/My%20Web%20Sites/funintec/web-static.archive.org/_static/images/toolbar/wayback-toolbar-logo-200.png	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
20:38:07	913/913	---M--	200	added ('OK')	image/gif	date:Wed,%2004%20Mar%202026%2000:47:30%20GMT	https://web-static.archive.org/_static/images/loading.gif	C:/My%20Web%20Sites/funintec/web-static.archive.org/_static/images/loading.gif	(from https://web.archive.org/web/20240723040931/https://www.funintec.org.ar/programa-futuros/)
